batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
1671,1671,2026-08-28T08:49:03+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01671,526813,31,385.28,Success,31,526813,382
1672,1672,2026-08-28T08:49:04+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01672,525861,31,328.872,Success,31,525861,324
1673,1673,2026-08-28T08:49:05+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01673,526381,31,335.918,Success,31,526381,332
1674,1674,2026-08-28T08:49:06+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01674,526189,31,459.792,Success,31,526189,456
1675,1675,2026-08-28T08:49:07+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01675,526103,31,459.972,Success,31,526103,455
1676,1676,2026-08-28T08:49:08+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01676,526741,31,376.673,Success,31,526741,370
1677,1677,2026-08-28T08:49:09+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01677,526043,31,406.923,Success,31,526043,402
1678,1678,2026-08-28T08:49:10+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01678,526220,31,423.808,Success,31,526220,419
1679,1679,2026-08-28T08:49:11+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01679,527016,31,398.054,Success,31,527016,393
1680,1680,2026-08-28T08:49:12+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01680,526232,31,487.418,Success,31,526232,482
1681,1681,2026-08-28T08:49:13+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01681,526162,31,427.856,Success,31,526162,423
1682,1682,2026-08-28T08:49:14+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01682,526789,31,468.854,Success,31,526789,458
1683,1683,2026-08-28T08:49:15+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01683,526647,31,319.768,Success,31,526647,314
1684,1684,2026-08-28T08:49:16+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01684,525528,31,306.818,Success,31,525528,306
1685,1685,2026-08-28T08:49:17+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01685,527335,31,452.382,Success,31,527335,454
1686,1686,2026-08-28T08:49:18+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01686,526865,31,396.658,Success,31,526865,392
1687,1687,2026-08-28T08:49:19+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01687,526221,31,489.869,Success,31,526221,489
1688,1688,2026-08-28T08:49:20+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01688,527035,31,352.554,Success,31,527035,351
1689,1689,2026-08-28T08:49:21+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01689,525719,31,374.237,Success,31,525719,372
1690,1690,2026-08-28T08:49:22+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01690,526072,31,430.409,Success,31,526072,428
1691,1691,2026-08-28T08:49:23+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01691,526218,31,486.561,Success,31,526218,483
1692,1692,2026-08-28T08:49:24+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01692,526405,31,347.186,Success,31,526405,343
1693,1693,2026-08-28T08:49:25+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01693,526700,31,319.854,Success,31,526700,314
1694,1694,2026-08-28T08:49:26+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01694,527202,31,378.274,Success,31,527202,379
1695,1695,2026-08-28T08:49:27+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01695,526679,31,357.09,Success,31,526679,357
1696,1696,2026-08-28T08:49:28+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01696,527090,31,412.115,Success,31,527090,412
1697,1697,2026-08-28T08:49:29+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01697,527285,31,304.409,Success,31,527285,302
1698,1698,2026-08-28T08:49:30+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01698,527092,31,360.713,Success,31,527092,358
1699,1699,2026-08-28T08:49:31+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01699,526967,31,395.4,Success,31,526967,393
1700,1700,2026-08-28T08:49:32+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01700,526512,31,381.698,Success,31,526512,379
1701,1701,2026-08-28T08:49:33+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01701,526184,31,327.403,Success,31,526184,324
1702,1702,2026-08-28T08:49:34+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01702,526304,31,338.541,Success,31,526304,335
1703,1703,2026-08-28T08:49:35+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01703,525947,31,372.212,Success,31,525947,369
1704,1704,2026-08-28T08:49:36+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01704,526501,31,430.687,Success,31,526501,427
1705,1705,2026-08-28T08:49:37+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01705,525562,31,375.485,Success,31,525562,371
1706,1706,2026-08-28T08:49:38+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01706,526450,31,332.15,Success,31,526450,327
1707,1707,2026-08-28T08:49:39+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01707,526529,31,360.632,Success,31,526529,354
1708,1708,2026-08-28T08:49:40+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01708,527044,31,430.215,Success,31,527044,425
