epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787908398.0628831,2026-08-28T09:13:18+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,551707730.0,19623.0
1787908403.088324,2026-08-28T09:13:23+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,556806057.0,19778.0
1787908408.111275,2026-08-28T09:13:28+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,561728745.0,19933.0
1787908413.132679,2026-08-28T09:13:33+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,565525535.0,20088.0
1787908418.152983,2026-08-28T09:13:38+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,570392199.0,20243.0
1787908423.175755,2026-08-28T09:13:43+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,574117573.0,20398.0
1787908428.198373,2026-08-28T09:13:48+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,577946653.0,20553.0
1787908433.223734,2026-08-28T09:13:53+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,582233616.0,20708.0
1787908438.248577,2026-08-28T09:13:58+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,587039210.0,20863.0
1787908443.270714,2026-08-28T09:14:03+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,591513139.0,21018.0
1787908448.2936351,2026-08-28T09:14:08+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,596066886.0,21173.0
1787908453.317929,2026-08-28T09:14:13+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,600339317.0,21328.0
1787908458.342705,2026-08-28T09:14:18+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,604382471.0,21483.0
1787908463.364618,2026-08-28T09:14:23+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,609188890.0,21638.0
1787908468.388204,2026-08-28T09:14:28+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,613465439.0,21793.0
1787908473.4133198,2026-08-28T09:14:33+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,618248228.0,21948.0
1787908478.432641,2026-08-28T09:14:38+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,621499327.0,22103.0
1787908483.458009,2026-08-28T09:14:43+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,626213064.0,22258.0
1787908488.48354,2026-08-28T09:14:48+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,630984136.0,22413.0
1787908493.5142121,2026-08-28T09:14:53+00:00,http_log_35m_x1,15.0,15.0,15.0,15.0,15.0,15.0,635540655.0,22568.0
1787908498.537363,2026-08-28T09:14:58+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,640169595.0,22723.0
